feature,importance
Total_Energy_kWh_lag_1,0.8989038390599988
hour,0.026584839973571132
Total_Energy_kWh_lag_24,0.012957428222642665
hour_sin,0.009416275636590823
Total_Energy_kWh_rolling_std_24,0.002565368621416416
hour_cos,0.002054721878528074
Total_Energy_kWh_rolling_mean_24,0.001892127677844765
Total_Energy_kWh_rolling_std_6,0.0013918224303281048
Total_Energy_kWh_rolling_max_6,0.001279817516327902
Total_Energy_kWh_rolling_std_12,0.0011609269091638825
Total_Energy_kWh_rolling_std_3,0.0011600164825884196
Total_Energy_kWh_rolling_max_3,0.001031195035563789
GHI_rolling_mean_12,0.001002875777209769
Total_Energy_kWh_lag_2,0.0009916052187200024
Total_Energy_kWh_rolling_mean_12,0.000982632224614734
Temperature_rolling_std_3,0.0009771732582030395
Total_Energy_kWh_lag_3,0.0009521468060236487
Total_Energy_kWh_rolling_mean_6,0.0009261308175645635
Total_Energy_kWh_rolling_min_6,0.0008190603316416023
WindSpeed_rolling_std_3,0.0007974225198418028
Total_Energy_kWh_lag_12,0.0007769633304260376
Temperature_rolling_std_24,0.0007652625876395678
Total_Energy_kWh_rolling_min_3,0.0007453194297161688
GHI,0.0006872634600565886
WindSpeed_rolling_std_12,0.0006819703445903509
Total_Energy_kWh_rolling_min_24,0.0006516363455104362
Total_Energy_kWh_rolling_max_12,0.0006455752313139035
Temperature_x_hour,0.000642165860961077
Temperature_rolling_std_12,0.0006406846459154831
Temperature_rolling_mean_24,0.000632070324559269
DIF_rolling_std_3,0.0006104748166189003
Total_Energy_kWh_lag_6,0.0006095556368411281
DIF_rolling_std_6,0.0005923846061986828
Temperature_rolling_min_24,0.000590924649803693
Total_Energy_kWh_rolling_mean_3,0.0005707316771514764
Temperature_x_WindSpeed,0.000569738347743561
Total_Energy_kWh_rolling_min_12,0.0005657865716169887
Temperature_rolling_std_6,0.0005596080267339967
WindSpeed_rolling_std_24,0.0005497856901603677
DIF,0.0005213082220826371
day_cos,0.0005047546165064114
Temperature,0.0005023425339323479
WindSpeed_rolling_std_6,0.000498081962334081
Temperature_rolling_min_12,0.0004927251437580752
DIF_rolling_mean_6,0.0004910107608214379
day_of_week,0.0004833193009890888
WindSpeed,0.00045816095408489653
day_of_month,0.0004563843799027574
GHI_rolling_std_3,0.00043932704978417243
DIF_rolling_std_12,0.0004265634537814746
DIF_rolling_mean_24,0.00042030867415255403
Temperature_rolling_max_24,0.0004162238280363397
Total_Energy_kWh_rolling_max_24,0.0003777793823743039
DIF_rolling_mean_12,0.00036477903781562837
GHI_rolling_mean_6,0.00035954635299185095
day_sin,0.0003538099860019231
DIF_rolling_max_24,0.00034995630454590814
DIF_rolling_std_24,0.0003485885093943219
WindSpeed_rolling_min_24,0.00034272226210602813
Temperature_rolling_mean_12,0.000335136250827691
month_sin,0.00032664086774851053
DNI,0.00032121925768617316
Temperature_rolling_max_3,0.0003195174505796327
WindSpeed_rolling_min_3,0.00029925785607000025
WindSpeed_rolling_mean_24,0.0002953605656600637
WindSpeed_rolling_max_24,0.00028471257904648254
GHI_rolling_std_6,0.0002803261697868428
Temperature_rolling_min_6,0.0002788777547863388
DIF_rolling_mean_3,0.00027426007857205497
DIF_rolling_min_3,0.0002656587256633278
WindSpeed_rolling_min_12,0.00026493373649637763
month,0.00026193182941801053
WindSpeed_rolling_min_6,0.00025938834481061056
DNI_rolling_max_24,0.0002522626975820495
Temperature_x_is_weekend,0.0002497425927717587
GHI_rolling_mean_3,0.00024210859509615488
DNI_rolling_mean_12,0.00023512993198986779
DIF_rolling_max_12,0.00022892240627643383
Temperature_rolling_mean_6,0.00022471325055597186
WindSpeed_rolling_mean_12,0.00022265891417566408
Temperature_rolling_max_12,0.0002225932003083392
GHI_rolling_std_12,0.00022213875126756983
WindSpeed_rolling_max_12,0.00021725251312030417
Temperature_rolling_min_3,0.00020580111209395345
Temperature_rolling_mean_3,0.0001996413626100162
WindSpeed_rolling_max_6,0.0001956656724194779
Temperature_rolling_max_6,0.00019560732004418287
DNI_rolling_std_24,0.00019431131608198016
DIF_rolling_max_3,0.00019070625114306502
GHI_rolling_max_3,0.00018885677140801046
GHI_rolling_min_3,0.00018804797234613842
GHI_rolling_max_12,0.00018793912614303336
WindSpeed_rolling_max_3,0.0001868388785161843
DNI_rolling_std_3,0.00018557793326143471
GHI_rolling_max_24,0.0001794315941619647
GHI_rolling_mean_24,0.00017910502345021978
WindSpeed_rolling_mean_3,0.0001787670191751134
DIF_rolling_max_6,0.00017579789720361058
GHI_rolling_std_24,0.00016120115960562177
WindSpeed_rolling_mean_6,0.0001602071265644024
GHI_rolling_max_6,0.00015760210367349472
DNI_rolling_mean_24,0.00015358902512433088
DNI_rolling_std_6,0.00014961662987121826
DNI_rolling_mean_6,0.00014334824596449818
month_cos,0.0001323787313662335
DNI_rolling_std_12,0.00012655140312504596
GHI_rolling_min_6,0.00012142841612460285
DNI_rolling_mean_3,0.00011463220725721295
GHI_rolling_min_12,0.0001144711244021202
DNI_rolling_max_3,0.00010542218157943903
DIF_rolling_min_6,0.0001045261416355494
DNI_rolling_max_6,0.00010300575653141132
DIF_rolling_min_12,0.00010015261989059381
DNI_rolling_min_3,8.204098064430156e-05
DNI_rolling_max_12,6.903855215857995e-05
DNI_rolling_min_6,5.086985034555587e-05
season,3.7736724559323265e-05
DNI_rolling_min_12,3.428606788036613e-05
is_weekend,1.803468400327915e-05
DNI_rolling_min_24,0.0
GHI_rolling_min_24,0.0
DIF_rolling_min_24,0.0
