datetime,total_predicted_kWh,total_actual_kWh,hour,date
2019-10-20 05:00:00,2084.9229839052205,1998.502826151815,5,2019-10-20
2019-10-20 06:00:00,1575.1627224936037,2060.764719122401,6,2019-10-20
2019-10-20 07:00:00,1285.116820161272,1812.5341183555793,7,2019-10-20
2019-10-20 08:00:00,2051.5985750856025,1911.6163751299323,8,2019-10-20
2019-10-20 09:00:00,2466.0472878990954,2427.4382297118077,9,2019-10-20
2019-10-20 10:00:00,2697.782263773868,2561.077465345333,10,2019-10-20
2019-10-20 11:00:00,2729.1185352167986,2720.025763985537,11,2019-10-20
2019-10-20 12:00:00,3186.4459190834746,3152.413902235771,12,2019-10-20
2019-10-20 13:00:00,3506.743044052135,3744.580371630234,13,2019-10-20
2019-10-20 14:00:00,3148.9150590953786,2928.1001963655053,14,2019-10-20
2019-10-20 15:00:00,2282.3434111026418,2361.024771856084,15,2019-10-20
2019-10-20 16:00:00,2064.172736562111,1995.049369202107,16,2019-10-20
2019-10-20 17:00:00,2016.2955596988959,2160.4378644589087,17,2019-10-20
2019-10-20 18:00:00,2215.7217057751905,2129.2671857568303,18,2019-10-20
2019-10-20 19:00:00,2935.532426157749,2819.846019922233,19,2019-10-20
2019-10-20 20:00:00,2230.003319456925,2150.6137030238638,20,2019-10-20
2019-10-20 21:00:00,1558.2026909208175,1614.4144435296882,21,2019-10-20
2019-10-20 22:00:00,1679.5483811139572,1953.1277690301317,22,2019-10-20
2019-10-20 23:00:00,1751.7113064475957,1791.7986342835939,23,2019-10-20
2019-10-21 01:00:00,1206.7425518028836,1151.6885485703795,1,2019-10-21
2019-10-21 02:00:00,1176.0185952766926,1139.5309033164933,2,2019-10-21
2019-10-21 03:00:00,1183.0082438516743,1138.6379658076994,3,2019-10-21
2019-10-21 04:00:00,1172.6550663139744,1164.150335162023,4,2019-10-21
2019-10-21 05:00:00,1181.3975195548692,1142.7580708204475,5,2019-10-21
2019-10-21 06:00:00,963.654061527845,221.25430834969396,6,2019-10-21
2019-10-21 07:00:00,377.0602135036434,350.6112916693645,7,2019-10-21
2019-10-21 08:00:00,891.9994789939813,995.6637891470607,8,2019-10-21
